region,river,species,genera,family,latitude,cv,med/mean,propdriest,srich,discharge,area
WCYP,Jardine,42,27,18,11.3,31.25,0.9984,0.187,5.069286105,631.6907786,33.57897073
WCYP,Wenlock,41,27,19,12.5,52.58,1.0262,0.0246,5.016838729,753.1014903,48.94513613
WCYP,Archer,35,23,16,13.5,46.58,1.1954,0.02,4.683754351,969.7128532,62.38968767
WCYP,Edward,31,22,16,14.7,62.58,0.953,0.053,4.443311803,427.8616946,30.15950106
WCYP,Holroyd,30,22,14,14.2,62.29,1.0679,0.0077,4.380224593,564.420759,42.11483273
WCYP,Mitchell,41,28,17,16.1,90.43,0.6761,0.0199,5.016838729,1221.946062,128.5219877
WCYP,Coleman,25,19,15,15.1,62.64,1.0038,0.0058,4.046692982,314.0650092,41.38837317
ECYP,Olive,33,22,16,12.2,57.81,1.034,0.009,4.565371999,361.4052844,25.67454412
ECYP,Claudie,20,16,10,12.5,58.42,1.037,0.009,3.6729678,199.4971599,14.17245086
ECYP,Lockhart,17,13,10,13.2,59.84,1.01,0.0227,3.422598302,254.3980077,18.07084742
ECYP,Pascoe,26,21,14,12.7,49.71,1.0969,0.0229,4.116486466,561.7742057,27.34681312
ECYP,Stewart,19,17,13,14.2,56.75,1.0877,0.0133,3.592326346,458.0599176,31.38091796
ECYP,Starke,14,13,11,15.2,62.03,0.9696,0.0281,3.145899944,154.4854628,9.062092014
ECYP,Howick,12,10,9,15.1,63.72,0.962,0.05,2.942324749,154.3156222,10.96271533
ECYP,McIvor,17,14,11,15.3,58.73,0.8669,0.0683,3.422598302,194.727277,11.69779076
ECYP,Endeavou,14,13,10,15.5,65.1,0.9833,0.054,3.145899944,304.1740286,20.86764764
ECYP,Annan,21,17,11,15.4,51.31,0.7841,0.0928,3.75166597,431.0827211,20.17209069
ECYP,Normanby,25,21,14,15,84.65,0.9148,0.0255,4.046692982,1061.671678,80.72109973
WT,Bloomfie,21,16,10,15.8,33.27,0.9086,0.1838,3.75166597,441.0243106,15.6379398
WT,Daintree,35,28,16,16.3,57.32,0.8151,0.1357,4.683754351,470.9726385,22.19129289
WT,Saltwate,22,19,14,16.4,44.78,0.961,0.135,3.828220217,210.7557753,8.498587728
WT,Mossman,24,20,14,16.5,22.64,0.9825,0.2198,3.975696687,343.5731349,11.01986992
WT,Barron,33,27,17,17,73.35,0.8264,0.1516,4.565371999,364.1988465,27.10992779
WT,Mulgrave,43,31,18,17.2,37.42,0.9589,0.1982,5.121769578,661.1627319,23.95315385
WT,Johnston,44,31,18,17.5,35.66,0.9968,0.2015,5.173244218,685.4667547,25.16112136
WT,Tully/Mu,40,27,16,18,48.84,0.8992,0.1887,4.963444722,639.57251,24.22778221
WT,Liverpoo,28,21,15,17.8,41.19,0.9783,0.176,4.25119449,328.652184,12.09509502
WT,Maria,29,25,14,17.8,42.61,0.921,0.175,4.316306242,291.2843681,10.86558006
WT,Hull,17,15,10,17.9,42.81,0.924,0.174,3.422598302,214.4121291,7.9980679
WT,Herbert,30,24,18,18,70,0.844,0.089,4.380224593,756.9521187,54.90475737
CQ,Burdekin,36,27,17,20.8,129.93,0.5858,0.0295,4.741246141,1013.332821,166.3177308
CQ,Fitzroy,27,23,16,23.1,110.81,0.4623,0.0663,4.184553468,947.1902779,173.1745421
CQ,Pioneer,31,25,19,21,87.92,0.7236,0.0642,4.443311803,419.6831408,23.88379033
SEQ,Burnett,34,26,20,25,138.26,0.5826,0.1907,4.625109286,470.2196848,91.88152726
SEQ,Mary,34,27,21,25.9,91.59,0.5272,0.1971,4.625109286,627.2216582,53.6241754
SEQ,Brisbane,31,23,17,27.5,94.26,0.6407,0.257,4.443311803,462.4322224,62.32109674
SEQ,Albert/L,30,22,17,27.3,90.25,0.5905,0.2263,4.380224593,435.0234771,37.43851547
