class,density,hardness,size,weight,moisture,type
hrw,1.349253333,60.32952,2.30274,24.648,12.01538,Healthy
hrw,1.287439667,56.08972,2.72573,33.2985,12.17396,Healthy
hrw,1.233985333,43.98743,2.51246,31.758,11.87949,Healthy
hrw,1.336533667,53.81704,2.27164,32.706,12.11407,Healthy
hrw,1.25904,44.39327,2.35478,26.07,12.06487,Healthy
hrw,1.300257667,48.12066,2.49132,33.2985,12.18577,Healthy
hrw,1.310840333,48.90826,3.06134,36.498,11.70869,Healthy
hrw,1.261261667,31.22386,2.70427,30.6915,12.2823,Healthy
hrw,1.289228,32.51999,2.71499,34.128,11.89823,Healthy
hrw,1.249943,23.58502,2.17895,30.2175,11.49407,Healthy
hrw,1.218844667,55.39337,1.92688,22.1595,11.66021,Healthy
hrw,1.261040333,41.65339,2.06701,25.7145,11.6154,Healthy
hrw,1.224129667,23.40429,2.24063,27.492,11.63755,Sprout
hrw,1.310248333,30.23363,2.45966,37.0905,11.76122,Sprout
hrw,1.084781333,37.66656,1.9866,23.8185,10.8017,Sprout
hrw,1.257832333,44.82628,2.72573,32.3505,11.92395,Sprout
hrw,1.222178333,44.76003,1.58038,17.775,11.25645,Sprout
hrw,1.273826667,44.90561,2.29235,29.388,11.90891,Sprout
hrw,1.207068667,48.06401,1.69349,19.7895,11.58091,Sprout
hrw,1.259044333,54.85931,2.92001,33.7725,11.62994,Sprout
hrw,1.225348667,31.78179,2.23032,25.4775,11.49161,Sprout
hrw,1.261798333,13.50923,2.15848,32.469,11.35804,Sprout
hrw,1.229063,34.42005,2.96342,36.3795,11.90463,Sprout
hrw,1.144217667,36.22179,2.29235,22.6335,11.80988,Sprout
hrw,1.046969333,97.32772,2.80106,28.7955,11.44522,Scab
hrw,1.209764667,67.09933,1.79933,22.3965,11.06002,Scab
hrw,0.980528,81.02776,1.08123,10.7835,10.36699,Scab
hrw,1.180739333,36.93693,2.48075,37.5645,11.39156,Scab
hrw,0.845568,-2.49944,1.33562,13.3905,11.88724,Scab
hrw,0.877583333,-0.5204,2.22003,19.434,11.8531,Scab
hrw,0.918647667,57.30509,1.84809,15.2865,11.11906,Scab
